grafana-1  | logger=context userId=1 orgId=1 uname=admin t=2025-10-30T14:33:54.77275995Z level=info msg="Request Completed" method=POST path=/api/ds/query status=400 remote_addr=104.28.30.79 time_ms=5 duration=5.364236ms size=199 referer="http://snapdiscounts.nl:3000/d/snap-obs-001/snapdiscounts-e28094-observability-overview?from=now-6h&orgId=1&refresh=10s&timezone=browser&to=now" handler=/api/ds/query status_source=downstream
grafana-1  | logger=context userId=1 orgId=1 uname=admin t=2025-10-30T14:33:54.791603455Z level=info msg="Request Completed" method=POST path=/api/ds/query status=400 remote_addr=104.28.30.78 time_ms=23 duration=23.30761ms size=199 referer="http://snapdiscounts.nl:3000/d/snap-obs-001/snapdiscounts-e28094-observability-overview?from=now-6h&orgId=1&refresh=10s&timezone=browser&to=now" handler=/api/ds/query status_source=downstream
grafana-1  | logger=context userId=1 orgId=1 uname=admin t=2025-10-30T14:33:54.791802125Z level=info msg="Request Completed" method=POST path=/api/ds/query status=400 remote_addr=104.28.30.78 time_ms=24 duration=24.061707ms size=199 referer="http://snapdiscounts.nl:3000/d/snap-obs-001/snapdiscounts-e28094-observability-overview?from=now-6h&orgId=1&refresh=10s&timezone=browser&to=now" handler=/api/ds/query status_source=downstream
grafana-1  | logger=context userId=1 orgId=1 uname=admin t=2025-10-30T14:33:54.791803929Z level=info msg="Request Completed" method=POST path=/api/ds/query status=400 remote_addr=104.28.30.78 time_ms=25 duration=25.567799ms size=199 referer="http://snapdiscounts.nl:3000/d/snap-obs-001/snapdiscounts-e28094-observability-overview?from=now-6h&orgId=1&refresh=10s&timezone=browser&to=now" handler=/api/ds/query status_source=downstream
grafana-1  | logger=context userId=1 orgId=1 uname=admin t=2025-10-30T14:33:54.792694432Z level=info msg="Request Completed" method=POST path=/api/ds/query status=400 remote_addr=104.28.30.79 time_ms=25 duration=25.809411ms size=199 referer="http://snapdiscounts.nl:3000/d/snap-obs-001/snapdiscounts-e28094-observability-overview?from=now-6h&orgId=1&refresh=10s&timezone=browser&to=now" handler=/api/ds/query status_source=downstream
grafana-1  | logger=context userId=1 orgId=1 uname=admin t=2025-10-30T14:33:54.883082332Z level=info msg="Request Completed" method=POST path=/api/ds/query status=400 remote_addr=104.28.30.78 time_ms=3 duration=3.674631ms size=199 referer="http://snapdiscounts.nl:3000/d/snap-obs-001/snapdiscounts-e28094-observability-overview?from=now-6h&orgId=1&refresh=10s&timezone=browser&to=now" handler=/api/ds/query status_source=downstream
grafana-1  | logger=context userId=1 orgId=1 uname=admin t=2025-10-30T14:34:04.770812926Z level=info msg="Request Completed" method=POST path=/api/ds/query status=400 remote_addr=104.28.30.78 time_ms=10 duration=10.968249ms size=199 referer="http://snapdiscounts.nl:3000/d/snap-obs-001/snapdiscounts-e28094-observability-overview?from=now-6h&orgId=1&refresh=10s&timezone=browser&to=now" handler=/api/ds/query status_source=downstream
grafana-1  | logger=context userId=1 orgId=1 uname=admin t=2025-10-30T14:34:04.770810913Z level=info msg="Request Completed" method=POST path=/api/ds/query status=400 remote_addr=104.28.30.79 time_ms=9 duration=9.730168ms size=199 referer="http://snapdiscounts.nl:3000/d/snap-obs-001/snapdiscounts-e28094-observability-overview?from=now-6h&orgId=1&refresh=10s&timezone=browser&to=now" handler=/api/ds/query status_source=downstream
grafana-1     | logger=context userId=1 orgId=1 uname=admin t=2025-10-30T14:34:04.779495619Z level=info msg="Request Completed" method=POST path=/api/ds/query status=400 remote_addr=104.28.30.78 time_ms=10 duration=10.516606ms size=199 referer="http://snapdiscounts.nl:3000/d/snap-obs-001/snapdiscounts-e28094-observability-overview?from=now-6h&orgId=1&refresh=10s&timezone=browser&to=now" handler=/api/ds/query status_source=downstream
grafana-1     | logger=context userId=1 orgId=1 uname=admin t=2025-10-30T14:34:04.780979389Z level=info msg="Request Completed" method=POST path=/api/ds/query status=400 remote_addr=104.28.30.78 time_ms=11 duration=11.556479ms size=199 referer="http://snapdiscounts.nl:3000/d/snap-obs-001/snapdiscounts-e28094-observability-overview?from=now-6h&orgId=1&refresh=10s&timezone=browser&to=now" handler=/api/ds/query status_source=downstream
grafana-1     | logger=context userId=1 orgId=1 uname=admin t=2025-10-30T14:34:04.783004431Z level=info msg="Request Completed" method=POST path=/api/ds/query status=400 remote_addr=104.28.30.79 time_ms=13 duration=13.56574ms size=199 referer="http://snapdiscounts.nl:3000/d/snap-obs-001/snapdiscounts-e28094-observability-overview?from=now-6h&orgId=1&refresh=10s&timezone=browser&to=now" handler=/api/ds/query status_source=downstream
